changes = Time vs nsites vs nqubits0 vs h vs nlayers

g_converged min_loss iter nsites nqubits0 h nlayers time
true 0.0011154069987000896 3797 9 3 0.44 2 52.96
true 0.00491417942810668 2711 9 3 0.44 3 62.42
true 0.0022499727192558847 8001 9 3 0.44 4 221.66
true 0.3462821490729411 298 9 3 0.46 1 3.03
true 0.003314962309295011 970 9 3 0.46 2 14.49
true 0.0066381578579466916 4005 9 3 0.46 3 88.04
true 0.009256744437275052 6255 9 3 0.46 4 168.45
true 0.3074334111015125 183 9 3 0.48 1 1.92
true 0.03146626667272532 4129 9 3 0.48 2 61.52
true 0.028349134591649523 6275 9 3 0.48 3 131.69
true 0.01008765844001234 6224 9 3 0.48 4 162.25
true 0.2691127936403955 231 9 3 0.5 1 2.31
true 0.04754009989347304 1213 9 3 0.5 2 17.96
true 0.02702526435307001 1485 9 3 0.5 3 33.6
true 0.02377293079141744 21402 9 3 0.5 4 582.49
true 0.2395923324669397 343 9 3 0.52 1 3.12
true 0.05640986055378109 2996 9 3 0.52 2 45.09
true 0.00045352107732797114 4378 9 3 0.52 3 95.89
true 0.004250971881566978 16431 9 3 0.52 4 441.13
true 0.17930415962356316 235 9 3 0.54 1 2.37
true 0.06045971442303455 1468 9 3 0.54 2 21.9
true 0.025810519385316366 6111 9 3 0.54 3 125.74
true 0.01584967418830478 4691 9 3 0.54 4 136.54
true 0.23601617762238578 338 9 3 0.56 1 3.22
true 0.20845544893205278 939 9 3 0.56 2 14.76
true 0.0006548170527880074 15201 9 3 0.56 3 305.18
true 0.039143277476544926 7404 9 3 0.56 4 212.92
true 0.22453999269783387 329 9 3 0.58 1 3.17
true 0.07777989568548539 1559 9 3 0.58 2 24.43
true 0.056930552936233204 6650 9 3 0.58 3 143.9
true 0.018511350867697562 4439 9 3 0.58 4 122.76
true 0.2370365138213728 234 9 3 0.6 1 2.23
true 0.08561173872008172 709 9 3 0.6 2 11.98
true 0.06654100871503914 6682 9 3 0.6 3 141.29
true 0.018946553245789404 3367 9 3 0.6 4 96.09
true 0.25010962377426216 327 9 4 0.0 1 2.39
true 2.4432807906038523e-7 1792 9 4 0.0 2 21.34
true 4.736395713814123e-6 1250 9 4 0.0 3 23.85
true 2.539142226927471e-5 1781 9 4 0.0 4 48.11
true 0.2500000924447713 322 9 4 0.02 1 2.32
true 3.5709155509294765e-5 1039 9 4 0.02 2 13.05
true 1.3797566384601834e-5 1494 9 4 0.02 3 28.2
true 6.460587727394329e-6 2703 9 4 0.02 4 62.79
