g_converged	min_loss	iter	nsites	nqubits0	h	nlayers	time
TRUE	9,58E-10	411	8	8	0,26	1	1,96
TRUE	0,125032576	393	8	8	0,28	1	2,08
TRUE	0,250033696	323	8	8	0,3	1	1,77
TRUE	0,1252243	535	8	8	0,32	1	2,69
TRUE	0,125389652	466	8	8	0,34	1	2,33
TRUE	0,001404379	319	8	8	0,36	1	1,63
TRUE	0,25430331	405	8	8	0,38	1	3,79
TRUE	0,025753883	458	8	8	0,4	1	3,98
TRUE	0,016364139	338	8	8	0,42	1	3,13
TRUE	0,177723799	351	8	8	0,44	1	3,2
TRUE	0,207104845	257	8	8	0,46	1	1,67
TRUE	0,416491627	234	8	8	0,48	1	1,66
TRUE	0,382152469	282	8	8	0,5	1	2,27
TRUE	0,384295849	304	8	8	0,52	1	2,47
TRUE	0,301042781	414	8	8	0,54	1	2,92
TRUE	0,255649129	403	8	8	0,56	1	2,85
TRUE	0,253299274	351	8	8	0,58	1	2,39
TRUE	0,4186101	332	8	8	0,6	1	1,83
TRUE	6,66E-08	3396	8	8	0	2	21,58
TRUE	3,59E-09	707	8	8	0,02	2	5,11
TRUE	2,89E-09	2724	8	8	0,04	2	17,89
TRUE	5,36E-09	2740	8	8	0,06	2	17,8
TRUE	3,79E-09	2504	8	8	0,08	2	16,72
TRUE	0,000165186	1555	8	8	0,1	2	10,45
TRUE	6,86E-09	1570	8	8	0,12	2	10,75
TRUE	1,57E-11	2823	8	8	0,14	2	19,73
TRUE	9,92E-09	2568	8	8	0,16	2	17,66
TRUE	6,70E-10	2041	8	8	0,18	2	13,85
TRUE	3,51E-10	708	8	8	0,2	2	5,59
TRUE	0,125045936	1491	8	8	0,22	2	10,9
TRUE	7,03E-10	733	8	8	0,24	2	6,01
TRUE	9,97E-09	2375	8	8	0,26	2	18,06
TRUE	0,062374087	1611	8	8	0,28	2	13,31
TRUE	0,000181852	809	8	8	0,3	2	6,9
TRUE	0,000298731	844	8	8	0,32	2	7,8
TRUE	0,000392148	1256	8	8	0,34	2	10,2
TRUE	0,000482156	3806	8	8	0,36	2	31,3
TRUE	0,001091582	1995	8	8	0,38	2	28,3
TRUE	0,134982428	2211	8	8	0,4	2	29,26
TRUE	0,017468544	3190	8	8	0,42	2	43,88
TRUE	0,00577132	1750	8	8	0,44	2	25,43
TRUE	0,009156704	1582	8	8	0,46	2	14,17
TRUE	0,009857542	880	8	8	0,48	2	9,99
TRUE	0,010720151	2030	8	8	0,5	2	25,52
TRUE	0,011444513	1199	8	8	0,52	2	14,39
TRUE	0,215739411	1503	8	8	0,54	2	16,88
TRUE	0,224919585	2795	8	8	0,56	2	30,45
TRUE	0,013433491	3642	8	8	0,58	2	41,37
TRUE	0,291986796	3550	8	8	0,6	2	30,55
TRUE	1,51E-11	2619	8	8	0	3	25,81
TRUE	2,23E-10	7342	8	8	0,02	3	71,79
TRUE	3,93E-10	3249	8	8	0,04	3	30,01
TRUE	3,16E-09	1516	8	8	0,06	3	15,45
TRUE	8,42E-09	3054	8	8	0,08	3	30,15
TRUE	7,67E-08	1516	8	8	0,1	3	16,34
TRUE	6,20E-09	2590	8	8	0,12	3	25,71
TRUE	6,26E-10	3493	8	8	0,14	3	33,9
TRUE	3,65E-11	2700	8	8	0,16	3	26,65
TRUE	0,125062842	1244	8	8	0,18	3	13,93
TRUE	0,125040512	1421	8	8	0,2	3	15,95
TRUE	5,27E-10	2783	8	8	0,22	3	28,8
TRUE	0,000138083	2585	8	8	0,24	3	28,87
TRUE	0,000119816	2263	8	8	0,26	3	24,59
TRUE	9,31E-10	2518	8	8	0,28	3	31,07
TRUE	9,44E-10	2786	8	8	0,3	3	33,86
TRUE	0,000210224	6670	8	8	0,32	3	74,04
TRUE	0,000637401	2847	8	8	0,34	3	33
TRUE	0,001331549	3612	8	8	0,36	3	59,38
TRUE	0,0092399	4029	8	8	0,38	3	86,45
TRUE	0,029168542	3593	8	8	0,4	3	66,67
TRUE	0,00092041	6942	8	8	0,42	3	127,74
TRUE	0,135022367	7625	8	8	0,44	3	138,27
TRUE	0,189885417	8453	8	8	0,46	3	108,68
TRUE	0,129169923	5981	8	8	0,48	3	92,49
TRUE	0,123396991	7353	8	8	0,5	3	122,02
TRUE	0,00036763	5497	8	8	0,52	3	88,28
TRUE	0,000450008	13762	8	8	0,54	3	208,03
TRUE	0,146469559	4475	8	8	0,56	3	71,19
TRUE	0,001102793	6031	8	8	0,58	3	89,36
TRUE	0,155935614	7138	8	8	0,6	3	94,11
TRUE	8,60E-09	2684	8	8	0	4	34,93
TRUE	8,63E-09	2480	8	8	0,02	4	33,35
TRUE	2,81E-10	3296	8	8	0,04	4	42,73
TRUE	6,19E-09	2152	8	8	0,06	4	30,23
TRUE	7,73E-09	2725	8	8	0,08	4	38,46
TRUE	1,36E-11	3379	8	8	0,1	4	44,36
TRUE	1,19E-11	2977	8	8	0,12	4	39,3
TRUE	4,16E-11	2123	8	8	0,14	4	32,3
TRUE	3,48E-09	4655	8	8	0,16	4	59,32
TRUE	5,25E-11	3015	8	8	0,18	4	44,61
TRUE	1,88E-10	3472	8	8	0,2	4	47,69
TRUE	9,65E-10	2509	8	8	0,22	4	39,9
TRUE	0,000124227	3688	8	8	0,24	4	53,74
TRUE	0,000110553	4751	8	8	0,26	4	68,25
TRUE	0,125154688	2519	8	8	0,28	4	40,79
TRUE	0,000227037	1710	8	8	0,3	4	31,21
TRUE	0,125287295	4054	8	8	0,32	4	63,41
TRUE	0,000438188	3535	8	8	0,34	4	56,57
TRUE	0,000587171	4129	8	8	0,36	4	105,25
TRUE	0,005960308	8397	8	8	0,38	4	199,87
TRUE	0,003527797	21573	8	8	0,4	4	539,09
TRUE	0,01315191	11639	8	8	0,42	4	300,47
TRUE	0,007653701	7297	8	8	0,44	4	113,51
TRUE	0,008857963	23021	8	8	0,46	4	422,91
TRUE	0,08021861	7818	8	8	0,48	4	163,5
TRUE	0,007398546	6711	8	8	0,5	4	134
TRUE	0,000401308	18575	8	8	0,52	4	362,27
